Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,15969,2022-05-12,-0.410923243,-0.442183018,-0.378059741,21,100
Market-Adjusted Model,15971,2022-05-12,-0.028368772,0.0270212948,0.0044947302,21,100
Market-Adjusted Model,15972,2022-05-12,-0.033517392,-0.001865705,-0.00065389,21,100
Market-Adjusted Model,15973,2022-05-12,0.017979616,0.0499131684,0.050843118,21,100
Market-Adjusted Model,15976,2022-05-12,-0.07155963,-0.029940983,-0.038696128,21,100
Market-Adjusted Model,15977,2022-05-12,-0.01814514,0.0123225121,0.0147183617,21,100
Market-Adjusted Model,15978,2022-05-12,0.0279720904,0.1104665221,0.0608355924,21,100
Market-Adjusted Model,15979,2022-05-12,0.0296936244,0.0595456448,0.0625571265,21,100
Market-Adjusted Model,15980,2022-05-12,-0.345988533,-0.32454625,-0.313125031,21,100
Market-Adjusted Model,15981,2022-05-12,0.0182378239,0.052036954,0.051101326,21,100
Market-Adjusted Model,15984,2022-05-12,-0.08722888,-0.052208022,-0.054365378,21,100
Market-Adjusted Model,15985,2022-05-12,0.0082174702,0.0392638132,0.0410809723,21,100
Market-Adjusted Model,15986,2022-05-12,0.032873442,0.0623837844,0.0657369441,21,100
Market-Adjusted Model,15987,2022-05-12,0.1524779988,0.1801479448,0.1853415009,21,100
Market-Adjusted Model,15988,2022-05-12,-0.0133405,0.0190556239,0.0195230018,21,100
Market-Adjusted Model,15989,2022-05-12,0.0247560377,0.05416134,0.0576195398,21,100
Market-Adjusted Model,15992,2022-05-12,-0.037992657,-0.006651437,-0.005129155,21,100
Market-Adjusted Model,15993,2022-05-12,-0.02418206,0.0077242373,0.0086814423,21,100
Market-Adjusted Model,15994,2022-05-12,-0.02817407,0.0048832445,0.0046894316,21,100
Market-Adjusted Model,15995,2022-05-12,-0.2364865,-0.189610838,-0.203622998,21,100
Market-Adjusted Model,15996,2022-05-12,-0.030337548,-0.000325096,0.0025259545,21,100
Market-Adjusted Model,15997,2022-05-12,-0.021065209,0.0089582011,0.0117982926,21,100
Market-Adjusted Model,15998,2022-05-12,-0.016236874,0.0155651111,0.0166266279,21,100
Market-Adjusted Model,15999,2022-05-12,-0.050740089,-0.018679375,-0.017876587,21,100
Market-Adjusted Model,16000,2022-05-12,-0.016256281,0.0162128989,0.0166072214,21,100
Market-Adjusted Model,16005,2022-05-12,-0.012738915,0.0495951021,0.0201245873,21,100
Market-Adjusted Model,16006,2022-05-12,-0.032547296,-0.000251064,0.0003162057,21,100
Market-Adjusted Model,16007,2022-05-12,-0.083769622,-0.022576292,-0.05090612,21,100
Market-Adjusted Model,16008,2022-05-12,-0.018871421,0.0121811627,0.0139920811,21,100
Market-Adjusted Model,16009,2022-05-12,-0.142421454,-0.10591466,-0.109557952,21,100
Market-Adjusted Model,16012,2022-05-12,-0.047021975,0.0215248194,-0.014158473,21,100
Market-Adjusted Model,16015,2022-05-12,0.0236909797,0.0539257971,0.0565544818,21,100
Market-Adjusted Model,16017,2022-05-12,0.0026363438,0.0333909302,0.0354998458,21,100
Market-Adjusted Model,16018,2022-05-12,-0.002247923,0.0291384795,0.030615579,21,100
Market-Adjusted Model,16019,2022-05-12,-0.128914269,-0.094159976,-0.096050767,21,100
Market-Adjusted Model,16020,2022-05-12,-0.049504884,-0.015572438,-0.016641382,21,100
Market-Adjusted Model,16021,2022-05-12,-0.065739578,-0.010119802,-0.032876076,21,100
Market-Adjusted Model,16034,2022-05-12,-0.019023856,0.0201041083,0.0138396464,21,100
Market-Adjusted Model,16042,2022-05-12,0.0084314431,-0.015978557,-0.015978557,1,100
Market-Adjusted Model,16043,2022-05-12,-0.331937963,-0.312259458,-0.299074461,21,100
Market-Adjusted Model,16044,2022-05-12,0.174739319,0.1947796714,0.2076028211,21,100
Market-Adjusted Model,16048,2022-05-12,0.0552603523,0.0875900674,0.0881238544,21,100
Market-Adjusted Model,16049,2022-05-12,-0.034482727,0.0177529346,-0.001619225,21,100
Market-Adjusted Model,16052,2022-05-12,-0.144067768,-0.12143732,-0.111204266,21,100
Market-Adjusted Model,16055,2022-05-12,-0.052391871,-0.019143214,-0.019528369,21,100
Market-Adjusted Model,16057,2022-05-12,-0.005747149,0.0233277534,0.0271163528,21,100
Market-Adjusted Model,16059,2022-05-12,-0.037827225,-0.007504095,-0.004963723,21,100
Market-Adjusted Model,16060,2022-05-12,-0.098149865,-0.065376168,-0.065286363,21,100
Market-Adjusted Model,16062,2022-05-12,-0.359009629,-0.391210431,-0.326146127,21,100
Market-Adjusted Model,16063,2022-05-12,-0.006395734,0.0243139113,0.0264677683,21,100
Market-Adjusted Model,16064,2022-05-12,-0.087758446,-0.015354677,-0.054894944,21,100
Market-Adjusted Model,16066,2022-05-12,-0.296577971,-0.208118381,-0.263714469,21,100
Market-Adjusted Model,16068,2022-05-12,0.0729447862,0.1419381833,0.1058082882,21,100
Market-Adjusted Model,16069,2022-05-12,-0.138983078,-0.084710794,-0.106119576,21,100
Market-Adjusted Model,16070,2022-05-12,-0.196850395,-0.170462023,-0.163986893,21,100
Market-Adjusted Model,16071,2022-05-12,-0.045546115,-0.007451873,-0.012682613,21,100
Market-Adjusted Model,16075,2022-05-12,0.1637573007,0.194021729,0.1966208027,21,100
Market-Adjusted Model,16076,2022-05-12,0.0217482867,0.0559581137,0.0546117887,21,100
Market-Adjusted Model,16077,2022-05-12,0.0589509712,0.0958303729,0.0918144732,21,100
Market-Adjusted Model,16080,2022-05-12,-0.000847286,0.0310423199,0.0320162156,21,100
Market-Adjusted Model,16082,2022-05-12,-0.088229146,-0.047942642,-0.055365644,21,100
Market-Adjusted Model,16083,2022-05-12,-0.051247887,-0.015913636,-0.018384385,21,100
Market-Adjusted Model,16084,2022-05-12,-0.13897597,-0.106195029,-0.106112468,21,100
Market-Adjusted Model,16086,2022-05-12,-0.180195482,-0.140107327,-0.14733198,21,66
Market-Adjusted Model,16087,2022-05-12,0.0509267101,0.0823514622,0.0837902121,21,100
Market-Adjusted Model,16090,2022-05-12,-0.162499988,-0.123080107,-0.129636486,21,100
Market-Adjusted Model,16092,2022-05-12,0.0107401729,0.0416251426,0.0436036749,21,100
Market-Adjusted Model,16093,2022-05-12,-0.009487094,0.0217648657,0.0233764076,21,100
Market-Adjusted Model,16094,2022-05-12,-0.000880908,0.0281580784,0.031982594,21,100
Market-Adjusted Model,16097,2022-05-12,0.0577644773,0.0867759859,0.0906279794,21,100
Market-Adjusted Model,16098,2022-05-12,0.0077951531,0.0367810892,0.0406586552,21,100
Market-Adjusted Model,16099,2022-05-12,-0.116564384,-0.077345559,-0.083700882,21,100
Market-Adjusted Model,16100,2022-05-12,-0.236312049,-0.217135846,-0.203448547,21,100
Market-Adjusted Model,16104,2022-05-12,-1.322302E-9,0.0464288372,0.0328635007,21,100
Market-Adjusted Model,16107,2022-05-12,0.0043103819,0.0362126832,0.0371738839,21,100
Market-Adjusted Model,16108,2022-05-12,-0.074894513,-0.006984364,-0.042031011,21,100
Market-Adjusted Model,16111,2022-05-12,-0.193453353,-0.137311567,-0.160589851,21,100
Market-Adjusted Model,16112,2022-05-12,-0.196629228,-0.179677881,-0.163765726,21,100
Market-Adjusted Model,16113,2022-05-12,-0.024540822,0.0083490631,0.0083226796,21,100
Market-Adjusted Model,16114,2022-05-12,0.0130999655,0.043737148,0.0459634675,21,100
Market-Adjusted Model,16115,2022-05-12,0.0068169783,0.0353075589,0.0396804804,21,100
Market-Adjusted Model,16119,2022-05-12,0.0915389576,0.1336937838,0.1244024596,21,100
Market-Adjusted Model,16120,2022-05-12,-0.126865732,-0.067820605,-0.094002229,21,100
Market-Adjusted Model,16122,2022-05-12,0.0184783481,0.0483551957,0.0513418502,21,100
Market-Adjusted Model,16123,2022-05-12,0.0143400699,0.0455783166,0.047203572,21,100
Market-Adjusted Model,16126,2022-05-12,-0.021758276,0.0097111029,0.0111052263,21,100
Market-Adjusted Model,16128,2022-05-12,0.0203692348,0.0530259706,0.0532327369,21,100
Market-Adjusted Model,16130,2022-05-12,0.0054069058,0.0352055667,0.0382704079,21,100
Market-Adjusted Model,16131,2022-05-12,-0.004319757,0.026147109,0.0285437449,21,100
Market-Adjusted Model,16132,2022-05-12,-0.013341625,0.0166458037,0.0195218773,21,100
Market-Adjusted Model,16135,2022-05-12,-0.008918602,0.0216991693,0.0239449002,21,100
Market-Adjusted Model,16136,2022-05-12,-0.132521974,-0.108269703,-0.099658472,21,100
Market-Adjusted Model,16139,2022-05-12,-0.124803084,-0.083613888,-0.091939582,21,100
Market-Adjusted Model,16140,2022-05-12,-0.148335853,-0.096822461,-0.115472351,21,100
Market-Adjusted Model,16143,2022-05-12,0.0426578907,0.0757344118,0.0755213927,21,100
Market-Adjusted Model,16145,2022-05-12,0.2573838783,0.279002803,0.2902473803,21,100
Market-Adjusted Model,16146,2022-05-12,0.166253007,0.2172347986,0.1991165091,21,100
Market-Adjusted Model,16156,2022-05-12,-0.056326499,-0.02124617,-0.023462997,21,100
Market-Adjusted Model,16161,2022-05-12,-0.383217814,-0.401098826,-0.350354312,21,100
Market-Adjusted Model,16164,2022-05-12,-0.351724123,-0.313093397,-0.318860621,21,100
Market-Adjusted Model,16166,2022-05-12,-0.027993616,0.0052537083,0.0048698862,21,100
Market-Adjusted Model,16167,2022-05-12,-0.010118042,0.0220785552,0.0227454599,21,100
Market-Adjusted Model,16171,2022-05-12,-0.059368138,-0.027514468,-0.026504636,21,100
Market-Adjusted Model,16172,2022-05-12,-0.028619543,0.0045002821,0.0042439595,21,100
Market-Adjusted Model,16173,2022-05-12,-0.266251504,-0.218226268,-0.233388002,21,100
Market-Adjusted Model,16178,2022-05-12,0.0597706815,0.1307754213,0.0926341835,21,100
Market-Adjusted Model,16179,2022-05-12,-0.162229282,-0.074422314,-0.12936578,21,100
Market-Adjusted Model,16181,2022-05-12,-0.204724403,-0.156977883,-0.171860901,21,100
Market-Adjusted Model,16182,2022-05-12,-0.082971173,-0.037303049,-0.050107671,21,100
Market-Adjusted Model,16183,2022-05-12,-0.011572768,0.0173434244,0.0212907345,21,100
Market-Adjusted Model,16186,2022-05-12,-0.460824128,-0.554283707,-0.427960626,21,100
Market-Adjusted Model,16188,2022-05-12,0.2169811261,0.2626279387,0.2498446281,21,100
Market-Adjusted Model,16247,2022-05-12,0.2121212115,0.2331493589,0.2449847135,21,100
Market-Adjusted Model,16250,2022-05-12,0.2937364238,0.347022412,0.3265999258,21,100
Market-Adjusted Model,16251,2022-05-12,-0.082119923,-0.040632374,-0.049256421,21,100
Market-Adjusted Model,16252,2022-05-12,-0.26122453,-0.254373117,-0.228361028,21,100
Market-Adjusted Model,16253,2022-05-12,0.0538295847,0.0838056307,0.0866930867,21,100
Market-Adjusted Model,16255,2022-05-12,-0.261422181,-0.20602588,-0.228558679,21,100
Market-Adjusted Model,16258,2022-05-12,0.0046114948,0.0422276477,0.0374749969,21,100
Market-Adjusted Model,16260,2022-05-12,0.0410137964,0.0751949268,0.0738772985,21,100
Market-Adjusted Model,16261,2022-05-12,-0.165656512,-0.112881686,-0.13279301,21,100
Market-Adjusted Model,16263,2022-05-12,-0.115015955,-0.069339949,-0.082152453,21,100
Market-Adjusted Model,16271,2022-05-12,0.0046127893,0.0342498018,0.0374762913,21,100
Market-Adjusted Model,16274,2022-05-12,-0.03198904,-0.001966779,0.0008744625,21,100
Market-Adjusted Model,16276,2022-05-12,0.0104725355,0.0450022702,0.0433360376,21,100
Market-Adjusted Model,16277,2022-05-12,0.068521711,0.1138358567,0.101385213,21,100
Market-Adjusted Model,16281,2022-05-12,-0.055072484,0.0038273142,-0.022208982,21,100
Market-Adjusted Model,16283,2022-05-12,-0.022353388,0.0133855644,0.0105101138,21,100
Market-Adjusted Model,16284,2022-05-12,-0.039168253,-0.002812961,-0.006304751,21,100
Market-Adjusted Model,16285,2022-05-12,0.0049529454,0.0348634339,0.0378164474,21,100
Market-Adjusted Model,16287,2022-05-12,-0.054438677,0.002048474,-0.021575175,21,100
Market-Adjusted Model,16288,2022-05-12,-0.023178897,0.0067115321,0.0096846047,21,100
Market-Adjusted Model,16289,2022-05-12,-0.073243685,-0.032581532,-0.040380183,21,100
Market-Adjusted Model,16290,2022-05-12,0.0145191188,0.0601062336,0.0473826209,21,100
Market-Adjusted Model,16291,2022-05-12,-0.076219678,-0.041411684,-0.043356176,21,100
Market-Adjusted Model,16292,2022-05-12,-0.042841869,-0.011985069,-0.009978367,21,100
Market-Adjusted Model,16293,2022-05-12,0.0052810021,0.0353175152,0.0381445041,21,100
Market-Adjusted Model,16294,2022-05-12,0.0309854022,0.0693447999,0.0638489042,21,100
Market-Adjusted Model,16295,2022-05-12,0.1433033931,0.1737862314,0.1761668951,21,100
Market-Adjusted Model,16296,2022-05-12,0.0141428005,0.0474685944,0.0470063025,21,100
Market-Adjusted Model,16297,2022-05-12,-0.034161486,0.000086642,-0.001297984,21,100
Market-Adjusted Model,16302,2022-05-12,0.0234624258,0.0518789306,0.0563259278,21,100
Market-Adjusted Model,16303,2022-05-12,-0.118466881,-0.072584515,-0.085603378,21,100
Market-Adjusted Model,16304,2022-05-12,-0.342629492,-0.340994239,-0.30976599,21,100
Market-Adjusted Model,16305,2022-05-12,-0.002365226,0.030299752,0.0304982762,21,100
Market-Adjusted Model,16307,2022-05-12,-0.00486955,0.0296408255,0.0279939519,21,100
Market-Adjusted Model,16308,2022-05-12,-0.243619486,-0.111712857,-0.210755984,21,100
Market-Adjusted Model,16309,2022-05-12,-0.140277045,-0.05888261,-0.107413543,21,100
Market-Adjusted Model,16310,2022-05-12,-0.360784303,-0.358163472,-0.327920801,21,100
Market-Adjusted Model,16311,2022-05-12,-0.004036999,0.0243502526,0.0288265033,21,100
Market-Adjusted Model,16312,2022-05-12,-0.034366083,-0.003957258,-0.001502581,21,100
Market-Adjusted Model,16318,2022-05-12,0.0388021992,0.0836145051,0.0716657013,21,100
Market-Adjusted Model,16319,2022-05-12,0.054131434,0.0846295824,0.0869949361,21,100
Market-Adjusted Model,16320,2022-05-12,-0.010691868,0.0219358443,0.0221716336,21,100
Market-Adjusted Model,16321,2022-05-12,-0.021984789,0.0104437362,0.0108787126,21,100
Market-Adjusted Model,16322,2022-05-12,-0.038354161,-0.005010249,-0.005490659,21,100
Market-Adjusted Model,16323,2022-05-12,-0.031192191,-0.00057698,0.0016713115,21,100
Market-Adjusted Model,16324,2022-05-12,-0.00805688,0.023412801,0.0248066225,21,100
Market-Adjusted Model,16325,2022-05-12,0.0114300412,0.0429048857,0.0442935432,21,100
Market-Adjusted Model,16326,2022-05-12,-0.016071374,0.0150344741,0.0167921281,21,100
Market-Adjusted Model,16327,2022-05-12,0.0008752505,0.0292652521,0.0337387525,21,100
Market-Adjusted Model,16330,2022-05-12,0.0072100944,0.0356900898,0.0400735964,21,100
Market-Adjusted Model,16334,2022-05-12,0.0060164031,0.0346544436,0.0388799051,21,100
Market-Adjusted Model,16337,2022-05-12,-0.057078017,-0.028223212,-0.024214515,21,100
